Developer,Project Name,District,Unit Type,Size (sqm),Price,Currency
Murad Buildings,Nest One,Shaykhontohur,1 Bedroom,44,120000,USD
Murad Buildings,Nest One,Shaykhontohur,2 Bedroom,73,145000,USD
Independent,Modera Towers,Central,1 Bedroom,24.25,92150,USD
Golden House,Greenwich,Mirabad,2 Bedroom,56,114000,USD
Golden House,Greenwich,Mirabad,3 Bedroom,75,145000,USD
Golden House,Greenwich,Mirabad,3 Bedroom,75,160000,USD
BI Group,4U Tashkent,Mirzo-Ulugbek,1 Bedroom,33,67000,USD
BI Group,4U Tashkent,Mirzo-Ulugbek,2 Bedroom,37,78400,USD
BI Group,4U Tashkent,Mirzo-Ulugbek,3 Bedroom,59,104500,USD
BI Group,4U Tashkent,Mirzo-Ulugbek,4 Bedroom,92,182000,USD
NRG,Voha,Mirzo-Ulugbek,2 Bedroom,NaN,108111,USD
NRG,Voha,Mirzo-Ulugbek,3 Bedroom,NaN,169076,USD
NRG,Voha,Mirzo-Ulugbek,4 Bedroom,NaN,200536,USD
NRG,Meros,Yakkasaray,1 Bedroom,NaN,53390,USD
NRG,Meros,Yakkasaray,2 Bedroom,NaN,71000,USD
NRG,Meros,Yakkasaray,3 Bedroom,NaN,84172,USD
NRG,Meros,Yakkasaray,4 Bedroom,NaN,130000,USD
NRG,Yangi Baxt,Tashkent Region,2 Bedroom,NaN,41900,USD
NRG,Yangi Baxt,Tashkent Region,3 Bedroom,NaN,55600,USD
NRG,Jomiy 2.1,Olmazar,1 Bedroom,NaN,52375,USD
Golden House,Assalom Bog'lar,Yunusabad,2 Bedroom,53.7,1300000000,UZS
Golden House,Assalom Bog'lar,Yunusabad,3 Bedroom,76.7,1300000000,UZS
Golden House,Assalom Jomiy,Olmazar,2 Bedroom,76.6,1400000000,UZS
Golden House,Oz'Makon,Mirabad,1 Bedroom,31,688000000,UZS
Golden House,Oz'Makon,Mirabad,2 Bedroom,48.4,1100000000,UZS
Golden House,Oz'Makon,Mirabad,3 Bedroom,70.1,1500000000,UZS
BI Group,BI Sad'O,Yashnabad,Studio,NaN,600000000,UZS
Unknown,Sergeli New Build,Sergeli,4 Bedroom,125,57000,USD
Unknown,Izzat,Yashnabad,1 Bedroom,NaN,45500,USD
Murad Buildings,Green City,Chilanzar,3 Bedroom,NaN,1946894430,UZS
Glorious Building,Glorious Complex,Olmazar,NaN,NaN,669663500,UZS
Unknown,Yakkasaray City Mall,Yakkasaray,NaN,NaN,1400205500,UZS
Murad Buildings,Kislorod,Yakkasaray,2 Bedroom,NaN,2021166200,UZS
FDG,Parkent Plaza,Yashnabad,2 Bedroom,43,NaN,NaN
EvroHouse,Chinabad,Yunusabad,2 Bedroom,NaN,NaN,NaN